"library","batch","total_reads","gc_content","q30_rate","human_rate","rRNA_rate","contamination_rate","error_rate","bias","insertsize","exonic","intronic","intergenic","type"
"Y2_16_d_3","Y",35352627,46,0.935481,98.96123187,0.08,0.39,0.01,0.94,284,0.414787971181472,0.532807929880794,0.0524040989377338,"d"
"Y2_17_e_3","Y",43012151,45.5,0.937279,99.11422699,0.075,0.58,0.02,1.07,302,0.437655206494173,0.502285676287117,0.0600591172187099,"e"
"Y2_18_f_3","Y",48121010,44.5,0.939765,98.64429006,0.025,0.935,0.01,0.99,305,0.442447660763272,0.50241778393802,0.0551345552987081,"f"
"Y2_2_b_1","Y",53101268,46.5,0.947789,98.88997583,0.19,0.305,0.01,0.97,282,0.439889549520962,0.510173059183615,0.0499373912954229,"b"
"Y2_3_c_1","Y",38022013,46.5,0.946542,98.91363929,0.17,0.37,0.01,0.97,284,0.426769234691654,0.523241304540527,0.0499894607678194,"c"
"Y2_4_d_1","Y",41744832,45.5,0.943915,99.00246144,0.08,0.35,0.01,0.98,284,0.407884558214554,0.542004470668168,0.0501109711172772,"d"
"Y2_5_e_1","Y",36341863,46.5,0.946147,99.18766524,0.045,0.605,0.01,1.03,289,0.445274919383312,0.494934554799699,0.0597905258169889,"e"
"Y2_6_f_1","Y",42375465,44.5,0.948969,98.68510104,0.07,0.95,0.01,0.94,292,0.440368189029028,0.5043176990976,0.0553141118733717,"f"
"Y2_7_a_2","Y",46828125,46.5,0.944798,99.06968564,0.07,0.41,0.01,0.99,282,0.454164511894822,0.495359054808728,0.0504764332964494,"a"
"Y2_8_b_2","Y",50920247,47,0.939354,98.90208517,0.14,0.335,0.01,1,283,0.440305016225332,0.505876496129171,0.0538184876454968,"b"
"Y2_9_c_2","Y",45032006,46,0.942038,98.89800195,0.1,0.375,0.01,0.99,284,0.424200184832505,0.527449544249556,0.0483502709179388,"c"
"Y3_1_a_1","Y",45780999,47.5,0.939288,98.89337892,0.175,0.415,0.01,0.99,292,0.47482502077935,0.478570125249668,0.0466048539709817,"a"
"Y3_10_d_2","Y",32251332,47,0.946098,98.83577093,0.23,0.405,0.01,0.96,290,0.424507201204351,0.523521867786952,0.051970931008697,"d"
"Y3_11_e_2","Y",48206108,47.5,0.944086,98.99620476,0.17,0.665,0.01,1.07,290,0.463596254591105,0.475609041259477,0.0607947041494179,"e"
"Y3_12_f_2","Y",46841346,46,0.946127,98.45146847,0.17,0.875,0.01,1.04,293,0.46085371028686,0.484827322224536,0.054318967488604,"f"
"Y3_13_a_3","Y",37881081,46.5,0.94649,98.90684688,0.22,0.405,0.01,1.02,286,0.453782857057014,0.495479499900476,0.05073764304251,"a"
